Code,Title,Description
2621.99,Attaches parts blueprints,"Drawings, using hand tools. Matches Archivists and Curators, Other. Maintains liaison other Archivists and Curators engaged in with other libraries and library preserving and maintaining books, associations. May make abstracts and manuscripts, magazines, fossils, old seals summaries of important articles from and objects of historical, scientific and incoming periodicals. May determine literary importance, not elsewhere library policy. May look after the classified. Organization and administration of academic, public and research libraries. Librarians and Related Information"
2622.02,Professionals,"Librarian (Film) Librarians and Related Information Librarian (Film) organizes and maintains Professionals collect, select, develop, collection of processed motion pictures organize and maintain library collections for future use or reference. Receives films and other information repositories, both 55 mm and 16 mm positive and organize and control other library services negative as well as master positive, and provide information for users. Reference prints, library prints, etc. Prepares complete catalogue index and"
2622.01,Stores mms by tide scene reference.,"Librarian Selects and issues films as per requisitions received from various departments such Librarian organizes and maintains as editing, sound, direction, etc. Makes systematic collection of books, periodicals arrangement for loaning of films to and other printed matter in library and private parties. Attends to queries issues them to readers. Selects received for purchase of stock shots and publications to be purchased and receives stock sound effects. May cut and priced or complimentary copies of books, assemble portions of positive films. Periodicals and other publications from authors or publishers. Guides readers in selecting books or in finding information 2622. 0300 required by them. Issues publications to Tape Librarian/Librarian readers. Examines books periodically for Digital/Librarian Media damage, if any, and decides which books are to be repaired or re-bound. Gives Tape Librarian Maintains data on information from library sources on computer storage media such as magnetic. May hire, train, schedule, and data, issues the data devise to users; evaluate library staff. May prepare library keeps accounts of issues and receipts of budgets. May promote and market library data devices; weeds out obsolete data as products and services to public. May co- per instructions given by data ordinate activities of library with activities owners/controlling officers; ensures of other departments. May select and required storing conditions and reports purchase reference books for library deficiencies to controlling officer; indents collection. May manage graphics library, for gadgets and fixtures for maintaining assign classification terms to graphics, and the data devices. May be designated as research graphics. Librarian, Tape; Media, Librarian"
2622.0601,News Librarian,"Document Coder/Processor is responsible News Librarian manages information for cataloguing or indexing legal resources library stored in files, on tape or documents so as to be easily retrieved, microfilm, or in computers for use by sorted, reviewed or prioritized. News and editorial staff in publishing establishments, such as newspaper and Qualification Pack Details: magazine publishers, and in broadcasting QP NOS Reference SSC/Q2901 establishments, such as radio and QP NOS Name Document television stations: Directs activities of Coder/Processor workers engaged in clipping, classifying, NSQF Level 7 cataloguing, indexing, storing, editing, and retrieving library information, or performs. Researches, retrieves, and disseminates information in resource library or commercial databases Information Professionals in response to requests from news or"
2622.99,"Editorial staff, using knowledge","Librarians and Related Information classification system or computer Professionals, Other database. Maintains records and statistics on use of databases and information services provided. May manage in-house Librarians and Related Information database of news information, assign Professionals, Other include all other classification terms to news articles, input Librarians engaged in cataloguing, news articles into database, and research preserving and maintaining books, news information in in-house database. Manuscripts, magazines, of historical,. Business problems. Information Professionals research, prepares reports and formulates Social and Religious Professionals economic problems arising from production and distribution of goods and services. Studies whole process through Social and Religious Professionals conduct which man makes living and satisfies his research, improve or develop concepts, wants for products, shelter, service or theories and operational methods, or amusement and conditions favouring or apply knowledge relating to philosophy, hampering economic development. Politics, economics, sociology, Devices methods for collection and anthropology, history, philology, analysis of economic and statistical data languages, psychology, and other social and compiles and interprets such data. Sciences, or they provide social services to Prepares reports and formulates plans meet the needs of individuals and families based on studies in economic field and in a community. Interpreted and analysed data. Advises and consults private industrial concerns or Occupations in this Group are classified government agencies on matters such as into the following Families: operating efficiency, marketing methods and fiscal problems. May specialize in any 2631 Economists branch of economics, such as agricultural, 2632 Sociologists, Anthropologists and financial or industrial, international trade, Related Professionals labour or prices, or in taxation or market 2633 Philosophers, Historians and research and be designated accordingly"
2631.02,Family 2631,"Energy Economist Economists Energy Economist undertakes policy Economists conduct research, monitor research and formulates policies and data, analyse information and prepare programmes for efficient use of energy reports and plans to resolve economic and and its conservation, strengthens energy business problems and develop models to auditing/energy management capabilities analyse, explain and forecast economic in the country. Assists in implementation behaviour and patterns. They provide of energy efficiency programmes, advice to business, interest groups and benchmarks energy consumption in governments to formulate solutions to industry, power generation, transmission. May engage efficient technologies, designs and in research in government, private implements Standard and Labelling industry, and colleges and universities to programmes for appliances. Assists in explore family relations or child preparation of Energy Conservation development, develops new products for Building Codes and co-ordinates with home, discovers facts on food nutrition, State Authorities in implementation. And tests serviceability of new materials. Promotes awareness and implements May specialize in a specific area of home programmes for school children, develops economics. Performance contract and promotes Energy Service Companies"
2631.99,Economists,"Economists, other include those economists engaged in research on"
2631.03,Economic problems not elsewhere,"Home Economist classified. Home Economist organizes and conducts. Writes advertising copy and articles of interest to homemakers, tests recipes, Sociologists, Anthropologists and Related equipment, and new household products, Professionals investigate and describe the conducts radio and television structure of societies, the origin and homemakers' programmes, and performs evolution of societies, and the other public relations and promotion work interdependence between environmental for business firms, newspapers, conditions and human activities. They magazines, and radio and television provide advice on the practical application stations. Advises individuals and families of their findings in the formulation of on home management practices, such as economic and social policies. Budget planning, meal preparation, and energy conservation. Teaches improved 2632. 0100 homemaking practices to homemakers Sociologist, General and youths through educational programmes, demonstrations,. Studies origin and development Anthropologists and and relationship of groups of human Related Professionals beings. Collects or supervises collection and tabulation of data relating to 2632. 0300 development of community organizations, Clinical Sociologist social customs, etc. Processes and interprets data for use by administrators, Clinical Sociologist develops and law makers, educators and other implements corrective procedures to individuals and organizations engaged in alleviate group dysfunctions: Confers with solving social problems. Studies urban individuals and groups to determine problems such as unemployment, nature of group dysfunction. Observes begging, suicide and collects data, group interaction and interviews group assesses trend and attitude of society and members to identify problems related to observes social change in time and space. Factors such as group organization, May specialize in any branch of sociology authority relationships, and role conflicts. Such as Social Pathology, Industrial Develops approaches to solution of Sociology, Tribal Welfare and group's problems, based on findings and Administration, Educational sociology, etc. Incorporating sociological research and and may he designated accordingly. Study in related disciplines. Develops intervention procedures, utilising techniques such as interviews, consultations, role-playing, and participant observation of group Anthropologists and interaction, to facilitate resolution of Related Professionals group problems. Monitors group interaction and role affiliations to evaluate progress and to determine need"
2632.02,For additional change.,"Social Ecologist Social Ecologist investigates effects of Code 2632 environments on distribution and Title Sociologists, activities of individuals and groups. Anthropologists and Studies symbolic behaviour and social Related Professionals behaviour, interdependence of organism and environment leading to adjustments. 0400 Studies effects of environment on urban Demographer and rural growth, distribution, mobility and activities of individuals and groups. Demographer collects and analyses vital Assesses changes caused by various statistics related to population changes, environment and evolves means for such as births, marriages and mortality, proper adjustment. And forecasts trends of increase or decrease in population. Analyses data on. Evolves techniques of measuring Related Professionals population phenomena and evaluates their application. Studies customs, modes 2632. 0600 of living, nuptial procedures, fertility rates, Penologist birth control and public health measures, affecting demographic phenomena. Penologist investigates and studies Constructs life tables and studies punishment of various crimes, discipline economic and social characteristics of and managementof penal institutions and population in prescribed area. Writes rehabilitation of criminal offenders. Reports on results of studies and Studies theory and objectives of maintains familiarity with other studies to punishment and criminality as suggested improve techniques of analysis, refine by Criminologist. Assigns different concepts used, and methods of punishments for various crimes according population analysis. To their nature and intensity, appropriate to crime and criminal. Individuals punishment with corrective treatment of Anthropologists and institutions and settlement for habitual Related Professionals offenders. Enforces punishment with reformative and rehabilitative ideals, 2632. 0500 devisingpreventive measures. Studies social Related Professionals conditions and statistics of crime and traces origin, nature and causes of crime. 0700 Collects data and statistics about various Anthropologist, General types of conducts which constitute crime. Correlates crime prevalent in particular Anthropologist, General investigates community under particular social evolution of human race by studying conditions with actual crime committed. Development of physical characteristics, Views problems with socio-legal angle and religious and cultural practices, etc. At suggest measures to prevent crimes different periods of time. Identifies through effective and modern penal cultural periods with date in history by mechanism. Evolves institution in society studying remains of culture recorded on for preventing individuals from indulging stones, pottery, bones, etc. Undertakes in criminal behaviour. Excavations or exploration of pre-historic sites; preserves, reconstructs and classifies museum objects of cultural, man, and arranges for their proper display. Studies biological aspects physical attributes of existing and pre- of man within broad racial groups, traces historical human types. Identifies and genetic identity, similarities of physical classifies human beings into broad types characteristics amenable to accurate on basis of their physical characteristics by measurement and correlation between conducting field investigations. Studies in pathological phenomena and bodily form. Laboratory physical, physiological and Deter-mines inter-relationship of biological characteristics, amenable to psychological reactions to stresses of accurate measurement and comparison natural and social environment. Studies by tracing relationship between genetic formation of language and discusses structure and other physical historical events, reflected in process and characteristics like colour and structure of identifies independent stems in hair, eyes, ears, etc. , and by observing vocabulary of various languages to trace correlation between pathological links between languages and cultures. Conditions of parts of body and bodily Studies forms of social organizations and form. Identifies groups connected institutions like family and state, traces genealogically by genetic studies their development and conducts conducted among individuals related by comparative studies to infer relationship blood. Plans, organizes and conducts field between social requirements and investigation by various methods and institutional structures. Plans, organizes techniques to obtain data on blood and conducts sample surveys and case characteristics, genetic composition and studies where necessary for collection of physical measurements of body. Conducts relevant data and utilises data collected to bio-chemical studies of different parts of identify various characteristics of body to isolate and identify characteristics community and culture. Evaluates cause; of cellular structure of different parts of and form of resistance to external change body. Obtains measurements of bony within community. May utilise data for structures of body like capacity of application in solution of social problems cranium, length of different bones with involving change and adaptation. May instruments, like spreading and sliding specialize in any particular field of calliper. Observes other characteristics, anthropology and be designated as which are easily identifiable and can be Physical Anthropologist, Cultural accurately measured for purposes of Anthropologist or Archaeologist. Comparison between types. Studies characteristics of different parts of skin, Anthropologists and comparison. Infers relationship between Related Professionals environment and development of physical characteristics, traces relationship 2632. 0800 between man and higher animals like apes and monkeys for comparative studies by Anthropologist, Physical identifying similarities between physical characteristics and origin and spread of Anthropologist, Physical studies physical different racial group. Reconstructs fossil- nature of man by observation and remains after proper measurements, etc. Measurement of bodily variation and. 0900 and administration. May study folk dance, drama and music of tribal and peasant Anthropologist, Cultural communities. Anthropologist Cultural; Social Anthropologist plans, organizes and conducts investigations into physical, social and mental characteristics of both Anthropologists and past and present groups of human beings. Related Professionals Identifies regularities governing human cultural life and interprets cultural"
2632.1,Phenomena over large geographical areas,"And long time spans. Identifies and Genealogist isolates cultural groups spread over large regions, and studies differences and Genealogist conducts research into similarities in characteristics of different genealogical background of individual or cultural groups. Evaluates social family in order to establish descent from institutions fulfiling requirements of specific ancestor or to discover and human needs in different cultures. Identify forebears of individual or family: Identifies value systems, motivations and Consults different genealogical tables and expressions of various human urges and publications and documents, such as requirements through institutional set church and court records, for evidence of ups. Initiates pilot studies into attitudes, births, baptisms, marriages, deaths, and values, technology, personality, etc. , of legacies in order to trace lines of descent cultural group by employing suitable or succession. Constructs chart showing scientific methods like interview, lines of descent and family relationships. Questionnaire, participant observation Prepares history of family in narrative and genealogical studies to obtain form or writes brief sketches emphasising detailed understanding of social structure points of interest in family background. And culture of particular group. Classifies data collected, analyses and writes. Makes comparison between Code 2632 different cultural groups to define Title Sociologists, typology of each culture and derives Anthropologists and principles of group behaviour, forms of Related Professionals motivation, values upheld in different cultures for purposes of guidance and 2632. 1100 control in problems of' social engineering. Archaeologist Traces cultural evolution and pattern of change over time, by studying re-mains of Archaeologist, studies ancient art, ancient cultures and records in history, architectural relics, monuments,. Analyses human practices, living conditions, etc. , as existed activity in its social aspects, such as in past and their influence on modern political, economic, movement and civilization. Visits place of antiquity to growth of population etc. And deduces study monuments, relics and other relationship between such activity and materials that were in use in early times. Geographical environment. Conducts Examines and analyses findings to cartographic surveys and draws maps to determine period to which they belong. Required scales. Provides expert opinion Conducts exploration, survey and to Government and other organizations systematic excavation work of ancient on problems of economic exploitation of sites to discover hidden cities, structures geographic regions determination of and other antiquities. Collects objects of political boundaries and related problems. Art, pottery, beads, ornaments and other May specialize in any branch of geography relics from excavation bearing pre-historic such as study of relationship of economic or proto-historic culture. Classifies them activities to geographical location and according to period to which they belong. Climate movement of population, Undertakes research on findings and problems of land utilisation in urban publishes reports on historical growth and town planning preparation of importance. Inspects and preserves maps, geographical factors influencing ancient monuments like temples, forts, national and international problems and mosques, etc. In good order for may be designated as ECONOMIC architectural value. Prepares descriptive GEOGRAPHER. POLITICAL GEOGRAPHER, catalogues of articles collected and other PHYSICAL GEOGRAPHER, URBAN exhibits in museums. May deliver lectures GEOGRAPHER. CLIMATOLOGIST, to students and other interested in GEOMORPHOLOGIST, METHODOLOGIST archaeology. May undertake architectural etc. Survey of temples and monuments to study form and style ofdifferent periods. 9900 Sociologists, Anthropologists and"
2632.12,Professionals,"Geographer Sociologists, Anthropologists and Related Geographer studies characteristics and Professionals, Other include all other use of earth's surface relating and professionals who investigate and interpreting inter-action of physical and describe the social structure of societies, cultural phenomena. Investigates nature the origin and evolution of humanity, and of physical and climate environment of the interdependence between selected areas by obtaining data with environmental conditions and human application of various sciences such as activities, and make the knowledge. May decisions not elsewhere classified. Conduct research. Anthropologists and Political Scientists Related Professionals"
2633.02,Biographer,"Biographer studies life of important Philosophers, Historians and person and narrates events, interests, Political Scientists behaviour, activities and achievements of individual which enable proper understanding of his character and Philosophers, historians and political constitution. Specializes in writing career scientists conduct research into the or phase of life of an individual from nature of human experience and available records and other materials. Existence, phases or aspects of human Collects materials from news accounts, history, and political structures, diaries, personal paper, correspondence movements and behaviour. They and other details giving account of events document and report on findings to in which participated. Consults friends and inform and guide political and individual relatives of individual to get further actions. Particulars about person whose biography is to be written. Writes in narrative form"
2633.01,Life history of person portraying his,"Historian character and events. May reveal through biography relevant events and Historian studies, interprets and prepares developments of contemporary time. Chronological records dealing with past and current events connected with origin and progress of nation, state, region, institution, etc. Visits places of historical importance, collects historical data from Political Scientists different sources such as archives, court records, diaries, files and other published"
2633.03,And unpublished materials. Evaluates data,"Epigraphist on authenticity and relative significance. Assembles historical data in systematic Epigraphist studies inscriptions on ancient form relating them to time, place and monuments, temple walls, stone slabs, sequence of cause and effects. Aims at rocks, copper plates and other media and objective statement of facts and writes deciphers writing to depict historical history in narrative form from assembled evolution of country, people and place data to denote events as they occurred. And to reveal lost history of past and early May specialize in writing history of a rulers, their culture, social and religious. Visits historical and other Philatelist; Stamp Collector specializes in important places and examines collection of postage stamps for study or inscriptions on rocks, copper plates, resale. Collects used and unused postage temple walls, images, coins, seals, etc. Stamps relating to different periods and Takes ink impression of inscriptions found pertaining to different countries. Classifies on walls, stone slabs, pillars, etc. On them according to periods of issue and paper; deciphers or decodes contents of country of origin. Conducts exhibition of such inscriptions written in various stamp collection for public view. May languages and scripts. Publishes results of undertake systematic research in postal investigations reflecting on history on history, printing methods, difference in civilisation. May furnish required papers, etc. May sell stamps for profit. Information to scholars and research workers. 0400 Political Scientist Numismatist Political Scientist studies development of Numismatist specializes in collection, political institutions and interprets various reading inscription, study and political events from national, interpretation of rare old coins of international point of view and formulates historical and antique importance. Tours political theories to deal with principles of country, collects rare coins and reads and Government or States. Supervises deciphers old coins. Classifies coins collection of' information relating to according to period of existence. Arranges origin, development and inter-relationship and displays coins in exhibition halls, of political institutions. Studies effect of museums etc. Undertakes research on various phenomena such as political origin and history of old coins and philosophy, public laws and publishes reports and articles in scientific administration, party systems, public journals. Conducts visitors around exhibits opinion, relationship between and explains historical importance of coins Government and business, inter-national to them. May sell rare coins for profit. Laws, civic administration, etc. Processes May deliver lectures on historical and and interprets such data and information cultural importance of coins. To formulate theories and principles for adoption by Government or political Political Scientists field. 9900 mental illness and emotional and Philosophers, Historians and personality disorders. Conducts personal interviews or examines individuals to Political Scientists, Other determine their maladjustment and to suggest corrective measures. Develops Philosophers, Historians and Political psychological tests and experiments Scientists, Other include all other designed to measure mental professionals who conduct research and characteristics of human beings. Describe past events and activities, Administers psychological and other tests including the development of social and to individuals to evaluate and measure economic structures, or cultural and their intelligence, aptitude, ability, political institutions and movements, and interests and other personal make the knowledge obtained available as characteristics. Formulates methods to a basis for political, diplomatic and related train gifted or persons and children who policies not classified elsewhere. Are differently-abled (mentally and/or physically). May render individua1 counselling and group guidance to persons and students to assist them in Political Scientists selection of their career and courses, inter-personal relationship etc. May teach in institutions and do research work or perform administrative services. May Psychologists assist Psychiatrist or Physician in diagnosing and treating mental cases. Psychologists research into and study the May be known as CHILD PSYCHOLOGIST, mental processes and behaviour of human PSYCHOPATHOLOGIST, etc. , according to beings as individuals or in groups, and area of specialisation in which engaged. Apply this knowledge to promote personal, social, educational or. Title Psychologists 2634. 0200 Psychologist Psychometrist Psychologist studies mental, emotional Psychometrist; administers, score; and and cognitive characteristics of human interprets intelligence, aptitude, beings and determines principles which achievement and other psychological govern human behaviour. Investigates tests. Acquires necessary psychological factors that affect thought and conduct of tests and keeps them in his personal human being, and growth and custody. Gives psychological tests to development of individual personality individuals, as required by situation, under such as heredity, cultural and economic standard conditions. Times tests and. Interprets test results in dials, scales, meters, and other light of standard norms and limitations of instruments to minimize sensory test in terms of variability and reliability. Requirements; specifications for optimal May be engaged in construction and size, shape, direction and speed of standardization of psycho-logical tests. Motion, and location of equipment controls; and effects of environmental, 2634"
2634.04,"Psychologist, Engineering conducts","Research, development, application, and Psychologist, Educational evaluation of psychological principles relating to human behaviour to Psychologist, Educational investigates characteristics, design, and use of processes of learning and teaching and environments and systems within which develops psychological principles and human beings work and live. Collaborates techniques applicable to educational with equipment designers in design, problems to foster intellectual, social, and development, and utilization of man- emotional development of individuals. Machine systems to obtain optimum Conducts experiments to study efficiency in terms of human capabilities. Importance of motivation in learning, Advises on human factors to be implications of transfer of training in considered in design of man-machine teaching, and nature and causes of systems, military equipment, and individual differences in mental abilities to industrial products. Participates in solving promote differentiated educational such problems as determining numbers procedures to meet individual needs of and kinds of workers required to operate students. Analyses characteristics and machines, allocation of functions to adjustment needs of superior and inferior machines and operators, and layout and students and recommends educational arrangement of work sites. Analyses jobs programmes to promote maximum to establish requirements for use in adjustment. Formulates achievement, classification, selection, placement, and diagnostic, and predictive tests to aid training of personnel. Develops training teachers in planning methods and content methods and materials, such as of instruction. Administers standardised curriculums, lectures, and films, and tests to diagnose disabilities and prepares handbooks of human difficulties among students and to engineering data for use by equipment develop special methods of remedial and system designers. May conduct instruction. Investigates traits and research to develop psychological theories attitudes of teachers to study conditions concerning such subjects as effects of that contribute to or detract from optimal physical factors (temperature, humidity, mental health of teachers. Studies effects vibration, noise, and illumination) on of teachers' feelings and attitudes upon worker's behaviour; functional design of pupils, and characteristics of successful. Leadership and prepares reports on Collaborates with education specialists in findings. Developing curriculum content and methods of organizing and conducting. May specialize in Code 2634 educational measurement, school Title Psychologists adjustment, school learning, or special education. 0600 Clinical Psychologist Clinical Psychologist diagnoses or evaluates mental and emotional disorders"
2634.05,"Of individuals, and administers","Psychologist, Social programmes of treatment. Interviews patients in clinics, hospitals, prisons, and Psychologist, Social investigates other institutions, and studies medical psychological aspects of human and social case histories. Observes interrelationships to gain understanding patients in play or other situations, and of individual and group thought, feeling, selects, administers, and interprets and behaviour, utilising behavioural intelligence, achievement, interest, observation, experimentation, or survey personality, and other psychological tests techniques: Evaluates individual and to diagnose disorders and formulate plans group behaviour, developing such of treatment. Treats psychological techniques as rating scales and sampling disorders to effect improved adjustments methods to collect and measure data. Utilising various psychological techniques, Conducts surveys and polls to measure such as milieu therapy, psychodrama, play and analyse attitudes and opinions as therapy and hypnosis. Selects approach to basis for predicting economic, political, use in individual therapy, such as and other behaviour, using interviews, directive, nondirective, and supportive questionnaires, and other techniques, and therapy, and plans frequency, intensity, adhering to principles of statistical and duration of therapy. May collaborate sampling in selecting people. Observes with PSYCHIATRIST and other specialists in and analyses relations of individuals to developing treatment programmes for religious, racial, political, occupational, patients. May instruct and direct students and other groups to evaluate behaviour of serving psychological internships in individuals toward one another in groups, hospitals and clinics. May develop attitudes that exist in groups, and experimental designs and conduct influence of group on individual. Research in fields of personality Investigates social behaviourof individuals development and adjustment, diagnosis, to study such problems as origin and treatment, and prevention of mental nature of prejudice and stereotyping, disorders. May serve as consultant to transmission of values and attitudes in industrial, social, educational, welfare, child rearing, and contribution of factors and other agencies on individual cases or in social environment to individual mental in evaluation, planning, and development health and illness. Conducts experimental of mental health programmes. Mental deficiency, objective tests, projective techniques, or speech"
2634.07,Individual and group counselling services,"Industrial Organizational in universities and colleges, schools, Psychologist clinics, rehabilitation centres and industry to assist individuals in achieving more Industrial Organizational Psychologists effective personal, social, educational, and apply principles of psychology to personal, vocational development and adjustment. Administration, management, sales, and Collects data about individual through use marketing problems. Activities may of interview, case history, and include policy planning, employee observational techniques. Selects and screening, training and development, and interprets psychological tests designed to organizational development and analysis. Assess individuals intelligence, aptitudes, May work with management to abilities, and interests, applying reorganize the work setting to improve knowledge of statistical analysis. Worker productivity. Analyses data, using Evaluates data to identify causes of statistical methods and applications, in problem of individuals and to determine order to evaluate the outcomes and advisability of counselling or referral to effectiveness of workplace programmes. Other specialists or institutions. Conducts Conducts research studies of physical counselling or therapeutic interviews to work environments, organizational assist individual to gain insight into structures, communication systems, group personal problems, define goals, and plan interactions, morale, and motivation in action reflecting interests, abilities, and order to assess organizational functioning. Provides occupational, Develops and implements employee educational, and other information to selection and placement programmes. Enable individual to formulate realistic Develops interview techniques, rating educational and vocational plans. Follows scales, and psychological tests used to up results of counselling to determine assess skills, abilities, and interests for the reliability and validity of treatment used. Purpose of employee selection, May engage in research to develop and placement, and promotion. Formulates improve diagnostic and counselling and implement training programmes, techniques. May administer and score applying principles of learning and psychological tests. Individual differences. Identifies training and development needs. 9900 obligations. Promotes harmonious Psychologists, Other relations between management and workers to ensure efficiency in production, help in formation of welfare Psychologists, other includesall other activities such as recreational facilities, psychologist, who study mentalprocesses sanitation, education of children, etc. And behaviour of human beings as Helps in formulating employment and individuals or in groups, and apply this recruitment policies in consultation with knowledge to promote personal, social, management and workers educational or occupational adjustment representatives. Uses his good office to and development not elsewhere bring about settlement by conciliation in classified. Event of dispute between workers and management. Ensures all administrative action on part of management in case of labour trouble. May assist employees in their personal problems. Social Work and Counselling Professionals Professionals Social Work and Counselling Professionals 2635. 0200 provide advice and guidance to individuals, families, groups, communities Officer guides and and organizations in response to social supervises social and welfare activities of and personal difficulties. They assist women, encourages them to develop clients to develop skills and access community life and utilise their spare time resources and support services needed to in useful trades and crafts to supplement respond to issues arising from their family income. Visits welfare centres unemployment, poverty, disability, and institutions and guides their activities. Addiction, criminal and delinquent Formulates and implements welfare behaviour, marital and other problems. Measures according to need of women workers in factories, institution, prisons,"
2635.01,Supervises work of Women's Welfare,"Labour Welfare Officer Organizationsand GramSevikas. Recommends proposals of welfare Labour Welfare Officer executes policy institutions applying for Government aids. Regarding working conditions, welfare, Investigates cases of deserted wives, etc. , of workers in industrial undertakings, destitute widows, orphans, etc. , and maintains liaison between management recommends admission to care institution and labour and promotes harmonious in deserving cases. Contacts institutions relations between them. Brings grievances and persons to secure employment, of workers to notice of' management. Hospitalisation, and admission to schools. Interprets labour laws to workers and etc. Assists in marketing of finished advises management on various statutory articles prepared by women welfare. May maintain case history; Medical Social Worker assists in solving of women-prisoners and functions as social and emotional problems of medium of communication between them individuals in relation to illness. Acts as and their relatives outside, if engaged as Liaison between patients and Physicians, LADY WELFARE OFFICER injail. Occupational Therapists and other medical service workers to facilitate Professionals assist in preparing proper environment for patients. Assists patients and their 2635. 0300 families in developing mental and emotional adjustments to illness. Probation Officer Attempts to eliminate fears, prejudice and other attitudes that are obstacles to Probation Officer, Aftercare Officer, acceptance of medical care and Probation studies and investigates continuation of treatment. Facilitates problems of ex-convicts and suggests and effectiveness of treatment or undertakes suitable measures towards recuperation by assisting patients to their rehabilitation as useful citizens. Regulate their lives so that harmful factors Studies back ground and environments of such as overwork, strenuous recreational offenders to ascertain causes of activities, inadequate diet and worries are delinquency and maladjustment and removed. Refers patients to community reports to court to determine their resources that may expedite their probation period and corrective measures rehabilitation. May participate in research to be taken. Undertakes aftercare of ex- programmes related to medico-social inmates of certified and juvenile schools. Encourages discharged prisoners to join aftercare homes and service centres to learn craft or profession. Assists ex- convicts in their rehabilitation. May maintain information of convict to ensure Professionals that they do not turn habitual offenders. May be designated as WELFARE OFFICER"
